molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
CH4N2S,thiourea,62-56-6,454.15,854.0,80.12,0.1577,0.0,0.0
CClN,cyanogen chloride,506-77-4,266.65,426.55,125.478,-0.01077,-0.0012687,3.1665e-06
CFN,cyanogen fluoride,1495-50-7,200.0,350.09,228.038,-1.4944,0.0044216,-2.7795e-06
CN4O8,tetranitromethane,509-14-8,287.05,398.85,66.557,0.53027,0.0,0.0
CO,carbon monoxide,630-08-0,81.66,125.0,13.49463107422,2.1967235917122,-0.032837148952929,0.00015850935928385
COS,carbonyl sulfide,463-58-1,134.3,378.0,86.329,-0.0092189,-0.0011739,4.1043e-06
COSe,carbon oxyselenide,1603-84-5,200.0,386.25,208.225,-1.1581,0.003077,-1.5229e-06
CO2,carbon dioxide,124-38-9,220.0,290.0,-3981.02,52.511,-0.22708,0.00032866
CS2,carbon disulfide,75-15-0,161.11,552.0,66.108236879828,0.15582333739746,-0.00081172735351573,1.3464408333333e-06
C2N2,cyanogen,460-19-5,238.75,379.91,273.325,-1.5946,0.0041012,-1.9851e-06
Ca,calcium,7440-70-2,1115.0,3000.0,38.0,0.0,0.0,0.0
Br2Ca,calcium bromide,7789-41-5,1015.15,2500.0,112.968,0.0,0.0,0.0
CaCl2,calcium chloride,10043-52-4,1045.0,3000.0,102.53,0.0,0.0,0.0
CaF2,calcium fluoride,7789-75-5,1691.0,3656.68,123.067,-0.0073372,-8.7482e-06,3.1959e-09
CaI2,calcium iodide,10102-68-8,1056.15,2500.0,103.345,0.0,0.0,0.0
CaO,calcium oxide,1305-78-8,3173.15,4500.0,62.76,0.0,0.0,0.0
CaO4S,calcium sulfate,7778-18-9,1723.2,2000.0,182.0,0.0,0.0,0.0
Cd,cadmium,7440-43-9,594.26,3000.0,29.9,0.0,0.0,0.0
CdCl2,cadmium chloride,10108-64-2,841.15,1615.83,171.964,-0.14422,8.5079e-05,-9.0911e-09
CdF2,cadmium fluoride,7790-79-6,793.15,2637.33,91.946,0.022686,-2.0834e-05,6e-09
CdI2,cadmium iodide,7790-80-9,658.15,1393.03,122.814,-0.045555,6.421e-06,1.6731e-08
Ce,cerium,7440-45-1,1071.0,3700.0,37.69784,0.0,0.0,0.0
ClF,chlorine monofluoride,7790-89-8,128.15,268.21,142.655,-0.99143,0.0036076,-1.4201e-06
ClFO3,perchloryl fluoride,7616-94-6,125.41,349.98,78.59,0.13804,-0.0009242,2.998e-06
ClF3,chlorine trifluoride,7790-91-2,190.15,436.42,172.729,-0.52736,0.00089492,6.1428e-07
ClF5,chlorine pentafluoride,13637-63-3,190.0,395.11,242.074,-1.0746,0.0027506,-1.082e-06
ClO2,chlorine dioxide,10049-04-4,213.55,441.75,186.153,-0.80657,0.0018068,-5.0986e-07
Cl2,chlorine,7782-50-5,172.12,396.29,127.601,-0.60215,0.0015776,-5.3099e-07
Cl2O,chlorine monoxide,7791-21-1,157.15,422.45,111.657,-0.13358,-0.00018421,1.5449e-06
Cl2O4,chlorine perchlorate,27218-16-2,298.15,303.15,127.82,0.0,0.0,0.0
Cl2O6,chlorine hexoxide,12442-63-6,298.15,303.15,159.82,0.0,0.0,0.0
Cl2O7,chlorine heptoxide,10294-48-1,182.15,537.49,176.297,-0.023104,-0.00060715,1.6442e-06
Co,cobalt,7440-48-4,1768.0,4000.0,40.501,0.0,0.0,0.0
Cl2Co,cobalt chloride,7646-79-9,1013.15,2000.0,99.161,0.0,0.0,0.0
CoF2,cobalt (II) fluoride,10026-17-2,1400.15,3000.0,104.6,0.0,0.0,0.0
C3CoNO4,cobalt nitrosyl tricarbonyl,14096-82-3,298.15,303.15,159.62,0.0,0.0,0.0
Cr,chromium,7440-47-3,2130.0,4000.0,39.33,0.0,0.0,0.0
Cl2Cr,chromium (II) chloride,10049-05-5,1088.0,1573.0,100.416,0.0,0.0,0.0
Cl2CrO2,chromium oxychloride,14977-61-8,176.65,595.02,133.278,0.067177,-0.00059599,1.1291e-06
CrO3,chromium (VI) oxide,1333-82-0,470.0,600.0,125.52,0.0,0.0,0.0
Cr2O3,chromium (III) oxide,1308-38-9,2603.0,4500.0,156.9,0.0,0.0,0.0
Cs,cesium,7440-46-2,301.59,2000.0,38.153301753692,-0.022055406548646,1.1625451433291e-05,2.7697132013043e-09
BrCs,cesium bromide,7787-69-1,909.15,2049.71,84.805,-0.0036931,-1.0394e-05,6.6543e-09
ClCs,cesium chloride,7647-17-8,918.15,3000.0,77.704,0.0,0.0,0.0
CsF,cesium fluoride,13400-13-0,976.0,3000.0,74.057,0.0,0.0,0.0
