molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D
F6Mo,molybdenum fluoride,7783-77-9,290.65,390.65,-0.0393544131115346,0.000238088693716744,1.70239342079407e-07,-5.84934652713657e-10
F6OS,sulfur fluoride hypofluorite,15179-32-5,187.15,287.15,-0.0122632177050514,0.000144481913642484,3.7160682243077395e-07,-8.33672378319438e-10
F6S,sulfur hexafluoride,2551-62-4,273.15,1500.0,-0.0126084544986541,0.000100976094341945,-4.05711121942576e-08,8.631690889755491e-12
F6Se,selenium hexafluoride,7783-79-1,238.45,338.45,-0.0136893135099626,9.168846186816651e-05,5.55683300980015e-07,-9.75822337959358e-10
F6Si2,"disilane, hexafluoro",13830-68-7,254.55,354.55,-0.0154269044535821,5.00618618126839e-05,9.65933783154323e-07,-1.43198910040487e-09
F6Te,tellurium hexafluoride,7783-80-4,235.55,335.55,-0.0206361663707276,0.000169855698855096,3.8786732586229296e-07,-8.74615407211251e-10
F6U,uranium fluoride,7783-81-5,337.15,437.15,-0.0389156842322046,0.00022005104333701803,6.68059973381591e-08,-3.52842236905023e-10
F6W,tungsten fluoride,7783-82-6,275.45,375.45,-0.0315511057038303,0.000191984544833075,2.2077512194770697e-07,-6.18271081156193e-10
F6Xe,xenon hexafluoride,13693-09-9,322.65,422.65,-0.0171094500165211,5.13629284704595e-05,4.2030044057103894e-07,-5.95043498154497e-10
F7I,iodine heptafluoride,16921-96-3,279.65,379.65,-0.0400461764606743,0.000221492329598265,3.69748235906943e-07,-8.695260822584249e-10
BrH,hydrogen bromide,10035-10-6,223.0,1500.0,-0.0008336572309840019,2.8692604824445697e-05,9.53480359885926e-09,-3.94996708360776e-12
Br3HSi,"silane, tribromo",7789-57-3,200.15,300.15,-0.00902678423357567,8.85294540142967e-05,9.580531753994551e-08,-3.62048434386965e-10
ClH,hydrogen chloride,'7647-01-0',158.97,1500.0,-0.00274874771850655,6.128722780987579e-05,-7.973868186958242e-09,1.2821105012156398e-12
ClHO3S,chlorosulfonic acid,7790-94-5,193.15,293.15,-0.00467410314619697,5.722526724509979e-05,1.2118575945114998e-07,-3.05501210691617e-10
ClHO4,perchloric acid,7601-90-3,171.95,271.95,-0.00942975457609528,0.000143767395824029,3.85978948045089e-08,-3.64858489017776e-10
Cl3GeH,"germane, trichloro",1184-65-2,202.15,302.15,-0.0131922722443144,0.000145865620634148,-1.84074434337926e-08,-2.83108130549963e-10
Cl3HSi,"silane, trichloro",10025-78-2,295.0,650.0,-0.0007755453245505941,2.49501397625733e-05,2.1286379413264398e-08,-6.461535786430331e-12
FH,hydrogen fluoride,7664-39-3,295.0,450.0,-0.00170925253797459,6.391217543457471e-05,2.8048870511245602e-08,-1.2416553746694801e-11
FHO3S,fluorosulfonic acid,7789-21-1,184.17,284.17,-0.00468133515681037,3.7827559799603796e-05,2.58837346764984e-07,-5.330726771382049e-10
F2HN,difluoramine,10405-27-3,150.0,200.0,-0.00197695158628358,7.43224681507254e-05,-4.46464439335831e-08,-1.40660756778071e-10
F3HSi,"silane, trifluoro",13465-71-9,150.0,241.75,-0.00722819418724455,8.89516533195505e-05,5.22548105429712e-07,-1.23270413845649e-09
HI,hydrogen iodide,10034-85-2,230.0,1500.0,-0.0002,2.3010473850797198e-05,-3.48966106028923e-09,9.57707798872902e-13
HNO3,nitric acid,7697-37-2,295.0,1000.0,-0.0037606400823515,4.77370368956401e-05,2.18878850797537e-08,-9.974787672422981e-12
H2,hydrogen,1333-74-0,14.0,1500.0,0.010978652795004,0.000664105985306813,-3.4378469162810695e-07,9.728293760079041e-11
Br2GeH2,"germane, dibromo",13769-36-3,258.15,358.15,-0.0145851998705384,0.00011791656096116001,-1.4803714935012001e-08,-1.71038192552629e-10
Br2H2Si,"silane, dibromo",13768-94-0,203.05,303.05,-0.007210939857379809,6.142600594037939e-05,1.73867328929149e-07,-4.1482558107492204e-10
