molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
C13H14,"1,3,5-trimethylnaphthalene",2131-39-7,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,3,6-trimethylnaphthalene",3031-08-01 00:00:00,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,3,7-trimethylnaphthalene",2131-38-6,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,3,8-trimethylnaphthalene",17057-91-9,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,4,5-trimethylnaphthalene",2131-41-1,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,4,6-trimethylnaphthalene",2131-42-2,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"1,6,7-trimethylnaphthalene",2245-38-7,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H14,"2,3,6-trimethylnaphthalene",829-26-5,150.0,1500.0,190.39497504237,-1.117969667038,0.0068746689066663,-1.3143607837808e-05,1.2448060899135e-08,-5.8766221817768e-12,1.0996959057724e-15
C13H15N,2-butylquinoline,7661-39-4,150.0,1500.0,136.76887551233,-0.5697128219221,0.0045065996843601,-8.9760982385722e-06,8.8269217422114e-09,-4.3314138875984e-12,8.3981023529116e-16
C13H15N,a-isobutylquinoline,93-19-6,150.0,1500.0,111.00201273912,-0.46238056495695,0.0036575692659241,-7.2850271479881e-06,7.1639550745754e-09,-3.5153879695218e-12,6.8159240249413e-16
C13H18,"1-propyl-[1,2,3,4-tetrahydronaphthalene]",66324-83-2,150.0,1500.0,172.00915516419,-1.0686897744023,0.0071962669139184,-1.3616777078039e-05,1.2621848460534e-08,-5.8174573124211e-12,1.062761635239e-15
C13H18,"2-propyl-[1,2,3,4-tetrahydronaphthalene]",66324-84-3,150.0,1500.0,172.00915516419,-1.0686897744023,0.0071962669139184,-1.3616777078039e-05,1.2621848460534e-08,-5.8174573124211e-12,1.062761635239e-15
C13H18,"1,2,3,4-tetrahydro-1,1,6-trimethylnaphthalene",475-03-6,150.0,1500.0,114.16178401929,-0.44975034841471,0.0042672449430813,-8.1995884139683e-06,7.6463935108202e-09,-3.5604983821799e-12,6.592014993687e-16
C13H18,"2,3-dihydro-1,1,4,7-tetramethyl-1H-indene",1078-04-2,150.0,1500.0,123.158796011,-0.4851948650984,0.0046035435933091,-8.8457923586152e-06,8.2490005438553e-09,-3.8410988197692e-12,7.1115271777973e-16
C13H18,"2,3-dihydro-1,1,4,6-tetramethyl-1H-indene",941-60-6,150.0,1500.0,123.158796011,-0.4851948650984,0.0046035435933091,-8.8457923586152e-06,8.2490005438553e-09,-3.8410988197692e-12,7.1115271777973e-16
C13H18,"1,2,3,4-tetrahydro-2,5,8-trimethylnaphthalene",30316-17-7,150.0,1500.0,123.158796011,-0.4851948650984,0.0046035435933091,-8.8457923586152e-06,8.2490005438553e-09,-3.8410988197692e-12,7.1115271777973e-16
C13H18O2,4-hexylbenzoic acid,21643-38-9,150.0,1500.0,206.0,-1.3152207113082,0.0088832882179222,-1.7097604635081e-05,1.6011284481474e-08,-7.4169979726224e-12,1.3576579885569e-15
C13H18O2,ibuprofen,15687-27-1,150.0,1500.0,287.46675495445,-1.7874030190599,0.0097991538366992,-1.8283358862122e-05,1.6966302096006e-08,-7.8314185822135e-12,1.4299320116077e-15
C13H20,heptylbenzene,1078-71-3,150.0,1500.0,141.80334397178,-0.15452905474592,0.0029977140002914,-5.3206987445347e-06,4.5216506068853e-09,-1.9586475858855e-12,3.4624643401842e-16
C13H20,"1-methyl-2,4-diisopropylbenzene",1460-98-6,150.0,1500.0,141.80334397178,-0.15452905474592,0.0029977140002914,-5.3206987445347e-06,4.5216506068853e-09,-1.9586475858855e-12,3.4624643401842e-16
C13H20,"1-methyl-3,5-diisopropylbenzene",3055-14-9,150.0,1500.0,141.80334397178,-0.15452905474592,0.0029977140002914,-5.3206987445347e-06,4.5216506068853e-09,-1.9586475858855e-12,3.4624643401842e-16
