molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E,F,G
F7KrSb,krypton fluoride hexafluoroantimonate,52708-44-8,150.0,1500.0,133.43234464023,-0.46998411575457,0.0028421074645891,-5.7294110749752E-06,5.6063201838766E-09,-2.6978951180796E-12,5.1030031572035E-16
F12KrSb2,krypton fluoride monodecafluoroantimonate,39578-36-4,150.0,1500.0,228.04939453656,-0.94289918752416,0.0054221551551414,-1.0757030290451E-05,1.0426818985522E-08,-4.9857792902627E-12,9.3885523307005E-16
F12KrTa,krypton fluoride monodecafluorotantalate,58815-72-8,150.0,1500.0,213.63289436259,-0.95774023623095,0.0053916109549143,-1.0645847669037E-05,1.0298969488829E-08,-4.9195341258388E-12,9.2577869303275E-16
F9Kr2Sb,krypton trifluoride hexafluoroantimonate,52721-22-9,150.0,1500.0,179.92906470545,-0.65024551527762,0.0038924530611509,-7.8071683344821E-06,7.6112294030741E-09,-3.652795885888E-12,6.8956820674033E-16
La,lanthanum,7439-91-0,150.0,1500.0,24.315957841584,-0.058134375874646,0.0003216094482592,-6.5185794610125E-07,6.5624440321026E-10,-3.2437628236788E-13,6.2532795036148E-17
AlLaO3,lanthanum aluminum oxide,12003-65-5,150.0,1500.0,61.425684385864,-0.046311205926584,0.00057537172277065,-1.2448007453394E-06,1.2373978166972E-09,-5.9730480652871E-13,1.1299153394472E-16
B6La,lanthanum boride,12008-21-8,150.0,1500.0,104.63028004401,-0.50869082462002,0.0028572873917802,-5.7591017540886E-06,5.6721327601327E-09,-2.7338589565029E-12,5.155711032717E-16
Br3La,lanthanum bromide,13536-79-3,150.0,1500.0,53.295214785965,0.12496085056688,-0.00015910206106544,1.7230807832388E-08,1.3330182999822E-10,-1.1074512792408E-13,2.7228485806011E-17
C2La,lanthanum carbide,12071-15-7,150.0,1500.0,39.41398276698,-0.09950122279193,0.00069258594891461,-1.4759792071739E-06,1.4879057041998E-09,-7.2276490347894E-13,1.3630969756771E-16
C15H15La,lanthanum tris(cyclopentadienyl),1272-23-7,150.0,1500.0,359.03150487048,-2.6568096047646,0.013166891921466,-2.4601090507571E-05,2.3143174815999E-08,-1.0865126769643E-11,2.0206986397171E-15
C24H33La,"lanthanum, tris (isopropylcyclopentadienyl)",68959-87-5,150.0,1500.0,634.7321352477,-4.7437153934141,0.023349978100963,-4.3306709509195E-05,4.0618322396921E-08,-1.9071309454391E-11,3.5534717239951E-15
C24H45LaO6,lanthanum octanoate,60903-69-7,150.0,1500.0,796.91401379335,-5.5992567170787,0.027680896582273,-5.1019795353677E-05,4.7680843677079E-08,-2.2375206915903E-11,4.1751747136635E-15
C33H57LaO6,"lanthanum, tris(2,2,6,6-tetramethyl-3,5-heptanedionato)",14319-13-2,150.0,1500.0,1029.7327959823,-7.4368291845083,0.03664511206447,-6.7601351013039E-05,6.3199658145475E-08,-2.9648109721538E-11,5.5281569133581E-15
Cl3La,lanthanum chloride,10099-58-8,150.0,1500.0,51.404405593775,0.11800995505653,-0.00014932394167957,3.1674525080732E-08,8.6243828203268E-11,-7.1750194143604E-14,1.6911421888783E-17
Cl3H12LaO6,lanthanum chloride hexahydrate,17272-45-6,150.0,1500.0,213.58628413976,-0.73753136861488,0.0041815945396722,-7.6814113195132E-06,7.1487651084999E-09,-3.3756476557359E-12,6.3861441157492E-16
Cl3H12LaO18,lanthanum perchlorate hexahydrate,36907-37-6,150.0,1500.0,366.4226481767,-1.451280726,0.0079679486869731,-1.4611329580176E-05,1.3448475152852E-08,-6.2503230271684E-12,1.1628568453866E-15
Cl3H14LaO7,lanthanum chloride heptahydrate,10025-84-0,150.0,1500.0,240.61659723851,-0.88012158935673,0.004903414287232,-8.9669256284561E-06,8.3258519902236E-09,-3.9262972335591E-12,7.4223157670463E-16
CrLaO3,lanthanum chromite,12017-94-6,150.0,1500.0,59.360666031817,0.03443711367241,0.00021939111441079,-5.7887940721084E-07,6.1153866665019E-10,-3.0626934933791E-13,5.9691195785155E-17
F3La,lanthanum fluoride,13709-38-1,150.0,1500.0,54.855404688404,-0.094620268081104,0.00077196047210543,-1.6850791783186E-06,1.7243512432283E-09,-8.5433874745115E-13,1.6484107383363E-16
H2La,lanthanum dihydride,13823-36-4,150.0,1500.0,21.029024278102,0.11492229667677,-0.00035145138730947,5.5676165870211E-07,-4.3912729630669E-10,1.6755136100216E-13,-2.4515657044664E-17
H3La,lanthanum trihydride,13864-01-2,150.0,1500.0,28.175998991403,0.073366742883576,-0.00014830626976924,2.0275109865434E-07,-1.130717742121E-10,1.2004712700604E-14,5.4494907508658E-18
H3LaO3,lanthanum hydroxide,14507-19-8,150.0,1500.0,66.385089996017,-0.10507059638485,0.00079828226665319,-1.5297284655947E-06,1.4618557358545E-09,-7.0666412961137E-13,1.3651009909181E-16
H12LaN3O15,lanthanum nitrate hexahydrate,10277-43-7,150.0,1500.0,322.26825248449,-1.3615252496423,0.007333091183294,-1.3363859658437E-05,1.2281009343541E-08,-5.7104453351161E-12,1.0638314639154E-15
I3La,lanthanum iodide,13813-22-4,150.0,1500.0,50.780779167744,0.20529317807154,-0.00057252936658524,9.6142475120617E-07,-9.0513802952737E-10,4.3273372088194E-13,-8.1595033217626E-17
LaN,lanthanum nitride,25764-10-7,150.0,1500.0,19.643083545276,0.14179830007504,-0.00045102538380559,6.9207681165362E-07,-5.629237154192E-10,2.3558265591009E-13,-3.9981751961292E-17
LaN3O9,lanthanum nitrate,10099-59-9,150.0,1500.0,160.086373937,-0.50598392594473,0.0030021727018025,-5.650773813516E-06,5.2184880628722E-09,-2.4065478733216E-12,4.4212847418723E-16
LaNi5,hy-stor 205,77980-81-5,150.0,1500.0,78.817575723029,0.27223864776903,-0.00060502062110468,7.0886967137811E-07,-4.5199085663248E-10,1.4741883526913E-13,-1.9063252404108E-17
LaS,lanthanum monosulfide,12031-30-0,150.0,1500.0,21.797196099104,0.1499080248789,-0.00046819011618874,7.0803008423388E-07,-5.7331980220349E-10,2.4055843413622E-13,-4.1113820957959E-17
LaSe,lanthanum selenide,12031-31-1,150.0,1500.0,21.151575028756,0.21287445291479,-0.00072719742187773,1.1536001567352E-06,-9.6338884308048E-10,4.1239949279525E-13,-7.136941251925E-17
LaSi2,lanthanum silicide,12056-90-5,150.0,1500.0,38.817858820587,0.053272256815294,2.7019865412446E-05,-1.9745549912699E-07,2.392003957433E-10,-1.2104574143819E-13,2.2760863774197E-17
LaTe,lanthanum telluride,12031-34-4,150.0,1500.0,21.151575028756,0.21287445291479,-0.00072719742187773,1.1536001567352E-06,-9.6338884308048E-10,4.1239949279525E-13,-7.136941251925E-17
C3H10La2O14,lanthanum carbonate pentahydrate,54451-24-0,150.0,1500.0,319.94877537448,-1.4816906085942,0.0078971582791263,-1.4582553052862E-05,1.3515544155228E-08,-6.2989692608658E-12,1.1710317126373E-15
C3H16La2O17,lanthanum carbonate octahydrate,6487-39-4,150.0,1500.0,401.03971463013,-1.9094612701383,0.010062617518297,-1.8439095971744E-05,1.7046804791579E-08,-7.9509179896358E-12,1.4818832070656E-15
H16La2O20S3,lanthanum sulfate octahydrate,57804-25-8,150.0,1500.0,435.41680749381,-1.7859728068012,0.009702369215468,-1.7730690638703E-05,1.6306771847242E-08,-7.5817311595404E-12,1.4118067348923E-15
H18La2O21S3,lanthanum sulfate nonahydrate,10294-62-9,150.0,1500.0,462.44712059699,-1.9285630276174,0.010424188963411,-1.9016204948514E-05,1.7483858729932E-08,-8.1323807378793E-12,1.5154239001277E-15
La2O2S,lanthanum oxysulfide,12031-43-5,150.0,1500.0,61.68642360876,0.045790847418799,0.00019341310825977,-5.5813891321361E-07,6.044813677239E-10,-3.0479929175425E-13,5.9336457958309E-17
La2O3,lanthanum oxide,1312-81-8,150.0,1500.0,59.360666031817,0.03443711367241,0.00021939111441079,-5.7887940721084E-07,6.1153866665019E-10,-3.0626934933791E-13,5.9691195785155E-17
La2S3,lanthanum sulfide,12031-49-1,150.0,1500.0,66.33793875599,0.068498315023455,0.0001414570953805,-5.1665792390878E-07,5.9036676841395E-10,-3.0185917580898E-13,5.8626982145311E-17
La2Te3,lanthanum telluride,12031-53-7,150.0,1500.0,64.401075547924,0.25739759908136,-0.00063556482143172,8.2005229302142E-07,-5.798403535829E-10,2.1366399983142E-13,-3.2139792469925E-17
Li,lithium,7439-93-2,150.0,1500.0,20.785729409629,9.0756455052654E-07,0.0,0.0,0.0,0.0,0.0
AlD4Li,lithium aluminum deuteride,14128-54-2,150.0,1500.0,80.882594072879,0.19149032824066,-0.00024904001310942,4.294833407761E-08,1.7386829249321E-10,-1.4361662142976E-13,3.4237085654715E-17
AlH4Li,lithium aluminum hydride,16853-85-3,150.0,1500.0,51.804492228643,-0.034096081733114,0.00044136365600368,-9.2836342013197E-07,9.6669239372853E-10,-5.0082255673854E-13,1.017915166456E-16
AlLiO2,lithium metaaluminate,12003-67-7,150.0,1500.0,48.689320717603,0.013167907163863,0.00025984221062465,-6.673075572443E-07,7.1242197999453E-10,-3.5774852575054E-13,6.9304664496182E-17
AlLiO6Si2,lithium aluminum silicate,12068-40-5,150.0,1500.0,131.71755935287,-0.36950969253094,0.0023067217464225,-4.439518586222E-06,4.1427640615759E-09,-1.9156640471262E-12,3.5125895854103E-16
AsF6Li,lithium hexafluoroarsenate,29935-35-1,150.0,1500.0,117.39223469837,-0.37243289170326,0.0023322067667506,-4.7461237566768E-06,4.6677903234574E-09,-2.2535673168326E-12,4.2720464032028E-16
BF4Li,lithium tetrafluoroborate,14283-07-9,150.0,1500.0,87.211382164951,-0.30995886365726,0.0018843660058696,-3.8390139192929E-06,3.7901096210103E-09,-1.8340838180337E-12,3.4793959195026E-16
BH4Li,lithium borohydride,16949-15-8,150.0,1500.0,51.638841233932,-0.085976182342102,0.00065734368321778,-1.3219068829766E-06,1.3402122640251E-09,-6.7895920428289E-13,1.3541748112873E-16
BH4LiO4,lithium metaborate dihydrate,15293-74-0,150.0,1500.0,102.58429590328,-0.32389263464171,0.0019194617314807,-3.6318796346285E-06,3.4401156100257E-09,-1.6371843269634E-12,3.1016495883445E-16
BLiO2,lithium metaborate,13453-69-5,150.0,1500.0,28.676103143497,0.13744307153912,-0.00016786271776417,9.9575302580574E-08,-1.2256306075028E-11,-1.3744149162224E-14,4.6496957377795E-18
BrLi,lithium bromide,7550-35-8,150.0,1500.0,25.559522092356,0.042886047688328,-5.7712316851492E-05,2.4622313681519E-08,1.5464229444008E-11,-1.769150149612E-14,4.4857054412483E-18
