molecular formula,substance name,CAS No.,"temperature, Tmin (K)","temperature, Tmax (K)",A,B,C,D,E
C7H16O2,"isobutoxypropanol, mixed isomers",63716-39-2,257.7,553.89,112.81106699829,2.0097443995138,-0.0055877637472539,6.3130703835097e-06,0.0
C7H16S,1-heptanethiol,1639-09-4,231.0,581.0,108.046,1.0802,-0.0027997,3.1263e-06,0.0
C7H16S,2-heptanethiol,628-00-2,132.15,534.38,187.34967418764,0.41330572022499,-0.0010838929441894,1.6972904426241e-06,0.0
C7H16S,2-thiaoctane,20291-60-5,206.35,539.19,172.80287812306,0.54702327491484,-0.0013993344881712,1.9500728894815e-06,0.0
C7H16S,3-thiaoctane,26158-99-6,206.66,539.19,171.64043716565,0.54419976803033,-0.0013920248704563,1.9389994537697e-06,0.0
C7H16S,4-thiaoctane,1613-46-3,206.66,542.25,172.47058283721,0.42448156791837,-0.0010178241367427,1.4821994676689e-06,0.0
C7H17N,heptylamine,111-68-2,254.15,518.53,145.32780064684,0.85247431453839,-0.0023131337535973,2.9484568684884e-06,0.0
C7H17N,"2,4-dimethyl-2-pentanamine",64379-30-2,254.15,480.25,104.57262456803,0.92309219928905,-0.0026410923951466,3.477529971028e-06,0.0
C7H17N,2-heptanamine,123-82-0,254.15,490.25,93.171367033986,1.2101708250145,-0.0035088735026405,4.4119973691355e-06,0.0
C7H17N,4-heptanamine,16751-59-0,254.15,489.0,94.956755198223,1.1698628234233,-0.0033872361986522,4.2831958677707e-06,0.0
C7H17N,3-methyl-1-hexanamine,65530-93-0,254.15,493.75,82.802034282049,1.3696901585183,-0.0039933245739017,4.9392648183737e-06,0.0
C7H17N,4-methyl-2-hexanamine,105-41-9,254.15,485.5,100.37574884651,1.0560266547588,-0.0030426186485536,3.9103165221826e-06,0.0
C7H17N,4-methyl-1-hexylamine,34263-68-8,254.15,495.75,77.031637111533,1.4615321744467,-0.0042713404721511,5.2352277918259e-06,0.0
C7H17N,methylhexylamine,35161-70-7,235.15,500.98,141.36283474784,0.857042209071,-0.0023928245978098,3.1764229757409e-06,0.0
C7H17N,ethylpentylamine,17839-26-8,220.81,491.08,141.15337412084,0.84797017429488,-0.0024244991756924,3.2987491122484e-06,0.0
C7H17N,dimethylpentylamine,26153-88-8,200.62,489.68,151.39223329224,0.56343008728527,-0.0015503605240235,2.2732731789057e-06,0.0
C7H17N,dimethyl-2-pentylamine,57303-85-2,185.62,467.68,147.91686586118,0.69575201316682,-0.0020611111832439,3.0622088756462e-06,0.0
C7H17N,dimethyl-3-pentylamine,18636-94-7,185.62,476.25,147.49826977899,0.69765424610124,-0.0020435789395213,3.0176898476881e-06,0.0
C7H17N,dimethyl-2-methylbutylamine,66225-39-6,185.62,474.84,146.49384669888,0.70563074690389,-0.002073827092941,3.0639999688513e-06,0.0
C7H17N,dimethyl-3-methylbutylamine,2315-43-7,185.62,473.19,145.54984611019,0.71321206803551,-0.0021035786279995,3.1102550390768e-06,0.0
C7H17N,"dimethyl-1,1-dimethylpropylamine",57757-60-5,203.04,483.07,149.36001009354,0.62048125708088,-0.0017416701509134,2.5371421918925e-06,0.0
C7H17N,"dimethyl-1,2-dimethylpropylamine",66225-38-5,185.62,477.9,151.23401974306,0.66868138180923,-0.0019437829136632,2.8718524860487e-06,0.0
