Formula,Name,CAS,Tmin,Tmax,A,B,C,D,E,F,G
Ag2O4Se,silver (I) selenate,7784-07-8,150.0,1500.0,86.513529875106,-0.010200950729158,0.00056546482687828,-1.2675552169383E-06,1.2643640002925E-09,-6.1207079467329E-13,1.1645460529859E-16
Ag2Te,silver (I) telluride,12002-99-2,150.0,1500.0,35.568075202108,0.22771550163205,-0.00069665322170401,1.0424175354414E-06,-8.3553934651993E-10,3.461543284416E-13,-5.8292872496246E-17
C6H5Ag3O7,silver (I) citrate,126-45-4,150.0,1500.0,258.49421817142,-1.2890199397725,0.0068787616630847,-1.29923735352E-05,1.2207001250328E-08,-5.7127015593016E-12,1.0596079027281E-15
Ag3N,silver nitride,20737-02-4,150.0,1500.0,48.476083891216,0.17148039752232,-0.00038993698352341,4.6971156921266E-07,-3.0722472246016E-10,1.0309232728876E-13,-1.3828671932795E-17
Ag3O4P,silver (I) phosphate,7784-09-0,150.0,1500.0,103.90360650667,-0.063932774364645,0.00091895536902692,-2.0242667555966E-06,2.0301317468658E-09,-9.8563969090609E-13,1.8721849847391E-16
C12H36Ag4I4P4,"silver iodide, complex with trimethylphosphine",12389-34-3,150.0,1500.0,631.63702474171,-3.2438987432094,0.017009992473231,-3.1689040671101E-05,2.9816377928906E-08,-1.4083717698381E-11,2.6449196859062E-15
Al,aluminum,7429-90-5,150.0,1500.0,30.976915579679,-0.079514890797694,0.00025497374607673,-4.1841107472315E-07,3.687433598261E-10,-1.6569881413747E-13,2.9766758178067E-17
AlAs,aluminum arsenide,22831-42-1,150.0,1500.0,23.216593380382,0.13212613335642,-0.00037121681372713,4.8767881908104E-07,-3.3752969356048E-10,1.2136403588549E-13,-1.8069074417186E-17
AlB2,aluminum diboride,12041-50-8,150.0,1500.0,41.431828271155,-0.11828965832114,0.00080324865748502,-1.7424334039104E-06,1.78907784341E-09,-8.8322533779032E-13,1.6886007086088E-16
AlB3H12,aluminum borohydride,16962-07-5,150.0,1500.0,143.51139233542,-0.73474367485901,0.0038434949012857,-7.161207541237E-06,6.828972619319E-09,-3.2852023832264E-12,6.2844468640324E-16
AlB12,aluminum dodecaboride,12041-54-2,150.0,1500.0,204.59050357782,-1.2961633728885,0.0068282970132084,-1.3448907622603E-05,1.3061363008028E-08,-6.2373980263182E-12,1.168888497035E-15
AlBr3,aluminum bromide,7727-15-3,150.0,1500.0,35.638298952808,0.28515573656183,-0.00077986224810296,1.1571543449145E-06,-9.5431330507998E-10,4.0981555434045E-13,-7.129938159293E-17
AlBr3H12O6,aluminum bromide hexahydrate,7784-11-4,150.0,1500.0,217.54211168427,-0.81132879267427,0.0045277970284941,-8.3617763745425E-06,7.8216822599527E-09,-3.7056780464984E-12,7.0223181360875E-16
AlBr3H18O18,aluminum bromate nonahydrate,11126-81-1,150.0,1500.0,413.26032397834,-1.7744114724362,0.0095330218790587,-1.7415757990993E-05,1.6077725431861E-08,-7.5136333050618E-12,1.4062651336447E-15
C2H5AlCl2,"aluminum, ethyl dichloride",563-43-9,150.0,1500.0,106.99342850334,-0.44137627728655,0.0024699039310422,-4.7340255122481E-06,4.5290305744742E-09,-2.1584635018958E-12,4.070073574248E-16
C2H6AlCl,"aluminum, dimethyl chloride",1184-58-3,150.0,1500.0,99.250626298208,-0.45625734793816,0.0024702431546393,-4.6769999868815E-06,4.4625920394035E-09,-2.1305451991187E-12,4.0318671361097E-16
C3AlF9O9S3,aluminum trifluoromethanesulfonate,74974-61-1,150.0,1500.0,361.99308132194,-1.8866660285048,0.01007125675221,-1.9229564181397E-05,1.8128643767666E-08,-8.4837205509712E-12,1.5710271597313E-15
C3H9Al,"aluminum, trimethyl",75-24-1,150.0,1500.0,122.14122747422,-0.7030168396497,0.0036020363986884,-6.6983765739539E-06,6.3378365701513E-09,-3.0144249731013E-12,5.696741904107E-16
C3H12AlN,"alane, trimethylamine",16842-00-5,150.0,1500.0,156.49016030014,-0.88391860508731,0.0045181879892244,-8.3331142197266E-06,7.8443177598306E-09,-3.7241269188053E-12,7.0403383428849E-16
C3AlN3S3,aluminum thiocyanate,538-17-0,150.0,1500.0,141.72884487779,-0.64209830621378,0.0035625335751106,-6.9006575184854E-06,6.5420363612289E-09,-3.0579498137856E-12,5.6337685728826E-16
C4H7AlO5,aluminum diacetate,142-03-0,150.0,1500.0,187.86855035424,-1.0660686111701,0.0054985575106454,-1.0248202388808E-05,9.6001767334792E-09,-4.5018178618154E-12,8.3855606734517E-16
C4H9AlCl2,"aluminum, isobutyl dichloride",1888-87-5,150.0,1500.0,168.2602352626,-0.90513311935577,0.0047328119716896,-8.8908297365543E-06,8.4123967054843E-09,-3.9820596550848E-12,7.4762359858486E-16
C4H10AlCl,"aluminum, diethyl chloride",1996-10-6,150.0,1500.0,160.51743306169,-0.92001419007839,0.0047331511956527,-8.8338042120174E-06,8.3459581713354E-09,-3.9541413527993E-12,7.4380295487161E-16
C6H5AlO7,aluminum citrate,31142-56-0,150.0,1500.0,231.7262361735,-1.3994503567165,0.0071736538706279,-1.3435929629659E-05,1.2577161406036E-08,-5.8712466871283E-12,1.0867551607061E-15
C6H9AlO6,aluminum acetate,139-12-8,150.0,1500.0,247.5777713573,-1.506193458779,0.0076707048285386,-1.4274478681516E-05,1.3356407657443E-08,-6.2538769994114E-12,1.1629288824097E-15
C6H15Al,"aluminum, triethyl",97-93-8,150.0,1500.0,214.04143760855,-1.3986521026771,0.0069963984592676,-1.2933582909529E-05,1.2162885765687E-08,-5.7498192023642E-12,1.0805985520445E-15
C6H15AlO3,aluminum ethoxide,555-75-9,150.0,1500.0,252.25052862258,-1.5770894421039,0.0079429869965038,-1.4666062475617E-05,1.3737813277792E-08,-6.4684880457605E-12,1.2116591606069E-15
C8H18AlCl,"aluminum, diisobutyl chloride",1779-25-5,150.0,1500.0,283.05104657285,-1.8475278740942,0.0092589672763159,-1.7147412659197E-05,1.6112690431764E-08,-7.6013336583278E-12,1.4250354370179E-15
C8H18AlD,"aluminum, diisobutyl deuteride",59231-30-0,150.0,1500.0,282.57776982578,-1.8060123422018,0.0090867055823754,-1.6847559194693E-05,1.5848045870737E-08,-7.4841138713796E-12,1.4043261853862E-15
C8H19Al,"aluminum, diisobutyl hydride",1191-15-7,150.0,1500.0,275.30824437542,-1.8624089448751,0.00925930650058,-1.7090387135345E-05,1.6046251898377E-08,-7.5734153564499E-12,1.4212147933882E-15
C9H15AlO9,aluminum lactate,18917-91-4,150.0,1500.0,377.68707248876,-2.3802660609513,0.012011655424911,-2.224216457993E-05,2.0756384361495E-08,-9.7079400701661E-12,1.8049138522178E-15
C9H21Al,"aluminum, tri-n-propyl",102-67-0,150.0,1500.0,305.94164774912,-2.0942873658096,0.010390760520384,-1.9168789246312E-05,1.7987934962557E-08,-8.4852134323343E-12,1.5915229138224E-15
C9H21AlO3,aluminum isopropoxide,555-31-7,150.0,1500.0,344.15073876428,-2.2727247052546,0.01133734905772,-2.090126881264E-05,1.9562862474942E-08,-9.2038822758863E-12,1.7225835224177E-15
C12H27Al,"aluminum, triisobutyl",100-99-2,150.0,1500.0,397.84185789215,-2.7899226289833,0.013785122581719,-2.5403995583604E-05,2.3812984160004E-08,-1.1220607662618E-11,2.1024472756653E-15
C12H27AlO3,aluminum tri-n-butoxide,3085-30-1,150.0,1500.0,436.05094889077,-2.9683599681505,0.014731711117615,-2.7136475146649E-05,2.5387911668724E-08,-1.1939276504208E-11,2.2335078838579E-15
C12H27AlO3,aluminum tri-sec-butoxide,2269-22-9,150.0,1500.0,436.05094889077,-2.9683599681505,0.014731711117615,-2.7136475146649E-05,2.5387911668724E-08,-1.1939276504208E-11,2.2335078838579E-15
C12H27AlO3,aluminum tri-tert-butoxide,556-91-2,150.0,1500.0,436.05094889077,-2.9683599681505,0.014731711117615,-2.7136475146649E-05,2.5387911668724E-08,-1.1939276504208E-11,2.2335078838579E-15
C15H3AlF18O6,aluminum hexafluoroacetylacetonate,15306-18-0,150.0,1500.0,640.47298770518,-4.3516879916101,0.02215652076,-4.2183015998234E-05,3.989976022552E-08,-1.8724840563318E-11,3.4722605800622E-15
C15H21AlO6,aluminum acetylacetonate,13963-57-0,150.0,1500.0,480.39655349097,-3.3437659252805,0.016634920305959,-3.0856034330059E-05,2.8875222113833E-08,-1.3526779798648E-11,2.515911080796E-15
C16H31AlO5,aluminum basic 2-ethylhexanoate,3002-63-9,150.0,1500.0,555.46939089603,-3.8486096633577,0.019076005753365,-3.5189027732021E-05,3.2900373516639E-08,-1.5443394779409E-11,2.8822535139913E-15
C18H15AlO9,"aluminum, tris(3-hydroxy-2-methyl-4H-pyraN-4-onato)-",23058-19-7,150.0,1500.0,524.74215810561,-3.7191718826506,0.01853812949552,-3.457559351618E-05,3.2362532561909E-08,-1.5114283094651E-11,2.7983142780508E-15
C18H37AlO4,aluminum monostearate,7047-84-9,150.0,1500.0,618.29378342499,-4.3359985001131,0.021429674517923,-3.947635989053E-05,3.6910874857572E-08,-1.7338527949717E-11,3.239113181558E-15
C20H47AlO5,aluminum hydroxycyclohexanebutyrate,38598-34-4,150.0,1500.0,735.17880208124,-5.1085677771743,0.025226982771541,-4.6334720653207E-05,4.3275549946735E-08,-2.0334960267567E-11,3.8032071777274E-15
C21H39AlO2,"aluminum, dimethyl(2,6-di-tert-butyl-4-methylphenoxide) diethyl ether complex",86803-85-2,150.0,1500.0,656.13336735555,-4.7464533215503,0.023380397082833,-4.3140537606973E-05,4.0381750288277E-08,-1.8972623022596E-11,3.5428032127815E-15
C24H51Al,"aluminum, tri-n-octyl",1070-00-4,150.0,1500.0,765.44269843082,-5.5724636811196,0.027362570824177,-5.0344820926228E-05,4.7113180942517E-08,-2.2162184579869E-11,4.1461447222421E-15
C27H18AlN3O3,"aluminum salt, 8-hydroxyquinoline",2085-33-8,150.0,1500.0,655.54401188158,-4.9945749988704,0.024701010557114,-4.6224212895261E-05,4.3381936172371E-08,-2.0279114378481E-11,3.7528815313833E-15
C32H16AlClN8,aluminum phthalocyanine chloride,38496-97-8,150.0,1500.0,764.1680615794,-5.7847131229469,0.028710337796677,-5.3910183087779E-05,5.0636824902186E-08,-2.3651651096385E-11,4.3698865468273E-15
C33H57AlO6,"aluminum tris(2,2,6,6-tetramethyl-3,5-heptanedionate",14319-08-5,150.0,1500.0,1031.7978142957,-7.5175775034255,0.037001092669323,-6.8267272343226E-05,6.382551728671E-08,-2.9939145174033E-11,5.5814572505578E-15
C36H72AlO5,aluminum distearate,300-92-5,150.0,1500.0,1168.1374584627,-8.486178083616,0.041705086157598,-7.6757069969987E-05,7.1734034821066E-08,-3.3679356308267E-11,6.2884159249707E-15
C48H24AlClN8,"aluminum 2,3-naphthalocyanine chloride",33273-14-2,150.0,1500.0,1082.7751225967,-8.4974345695179,0.041938119306321,-7.8668363453392E-05,7.3878421433668E-08,-3.4507300769948E-11,6.3756529305061E-15
C48H93AlO6,aluminum palmitate,555-35-1,150.0,1500.0,1534.1807132686,-11.245087141681,0.055191773679288,-0.00010156736738548,9.4907096401465E-08,-4.4549396212542E-11,8.315869945985E-15
C54H105AlO6,aluminum stearate,637-12-7,150.0,1500.0,1717.9811335549,-12.636357668042,0.06198049780208,-0.00011403778006045,1.0655719479689E-07,-5.0020184673433E-11,9.3377186697441E-15
C54H99AlO6,aluminum oleate,688-37-9,150.0,1500.0,1675.0992852679,-12.387024345155,0.060761627096158,-0.00011191371669857,1.0460086166251E-07,-4.908690478264E-11,9.1579277827666E-15
C70H95AlN8O9Si,"aluminum 1,4,8,11,15,18,22,25-octabutoxy-29H,31H-phthalocyanine triethylsiloxide",129707-63-7,150.0,1500.0,2065.45720214,-15.301777890603,0.075344366373504,-0.00013946901675951,1.3039645578052E-07,-6.1039004717528E-11,1.1344490011887E-14
C72H41AlN8O,"aluminum 5,14,23,32-tetraphenyl-2,3-napththalocyanine hydroxide",132403-09-9,150.0,1500.0,1594.2671743436,-12.807099136684,0.062908240768453,-0.00011774214388614,1.1050357560032E-07,-5.1624599840563E-11,9.5440293206095E-15
C96H14AlO15,aluminum 3-acetylglycyrrhetate,29728-34-5,150.0,1500.0,2776.1565622955,-20.915896787572,0.10259036662474,-0.00018953560058517,1.7718200102193E-07,-8.3005471301056E-11,1.5445514465386E-14
AlCl3,aluminum chloride,7446-70-0,150.0,1500.0,27.966003087283,0.29575259472307,-0.000742596964231,1.0349128941691E-06,-8.1534042175935E-10,3.3856783811594E-13,-5.7448944110625E-17
AlCl3H2O,aluminum chloride hydrate,10124-27-3,150.0,1500.0,80.499737037829,-0.10532858513756,0.00092847641348458,-1.9197611202791E-06,1.8891898580741E-09,-9.1343522814516E-13,1.7382892497105E-16
AlCl3H12O6,aluminum chloride hexahydrate,7784-13-6,150.0,1500.0,215.65130249643,-0.8182796882577,0.0045375751482556,-8.3473326581437E-06,7.7746242590995E-09,-3.6666831132192E-12,6.9191474979394E-16
AlCl3H18O18,aluminum chlorate nonahydrate,7784-15-8,150.0,1500.0,411.36951477677,-1.7813623677899,0.0095427999976405,-1.7401314271928E-05,1.6030667428054E-08,-7.4746383702113E-12,1.3959480695089E-15
AlCl3H18O21,aluminum perchlorate nonahydrate,81029-06-3,150.0,1500.0,449.57860579421,-1.9597997072739,0.010489388535175,-1.9133793838702E-05,1.7605594940929E-08,-8.1933072140215E-12,1.5270086781566E-15
